name,address,address_secondary,intersection,city,state,country,zip,description,food,music,dress_code,entry_fee,style,crowd,specialty,specials,price_range,parking,hours,contact_phone,date,venue_type_ids,neighbourhood_id,keyword_ids,logo,photos
Cake,214 Adelaide Street W,,Adelaide & Duncan,Toronto,Ontario,Canada,,A non-pretentious multi level party bar & nightclub with a state of the art sound and light show. Enjoy $4 mixed drinks and domestic beers every night. ,,"Top 40, Hip Hop, House","Dress to impress. Men must dress clean, meaning no baggy jeans, baseball hats, wife beaters/tank tops, jeans hanging too low or excessive necklaces. ","With guestlist, free entry before 11:30pm on Fridays and 11:00pm on Saturdays. Otherwise cover ranges from $10-$20","Unpretentious, a good time",Average age: 19-29,,,,Street parking on Adelaide W. for $4.00 per hour or covered parking at 110 Queen W. (Nathan Phillips Sq.) for $2.50 per half hour,Fri - Sat: 10:00pm - 3:00am,416-599-2253,,club,,"Let Loose, Mixed, Mixed Crowd, Multi Room, Free Before 11, Drink Specials",cake/cake_logo.png,"cake/cake_1.jpg, cake/cake_2.jpg"
Aria,108 Peter St,,Adelaide & Peter,Toronto,Ontario,Canada,,"Aria: An entertainment complex featuring 4 unique floors with different sounds such as Hip Hop, Top 40, Club Bangers and Latin. The top floor, Pure is a rooftop patio. ",,"Top 40, Hip Hop, Latin, Club Bangers","Dress to impress, Upscale casual ",$10-20,Get lost inside this huge club,Average age: 19-25,,,,Street parking on Adelaide or a parking lot just north of Aria,Fri - Sat: 10:00pm - 3:00am,647.228.2434,,club,,"Let Loose, Mixed Crowd, Multi Room, Hip Hop/Reggae, Latin, Top 40, Rooftop Patio",aria_complex/arialogo.png,"aria_complex/aria_complex1.jpg, aria_complex/aria_complex2.jpg, aria_complex/aria_complex3.jpg"
Gravity Sound Bar,296 Richmond St. W,,John & Richmond,Toronto,Ontario,Canada,,"A venue with a space theme, walking into Gravity Sound Bar feels like you’re walking into another dimension. They have a huge L.E.D wall and amazing laser light shows. There are two rooms: a big spacious room with a dance floor and bottle service, and a smaller one with a more relaxed, lounge vibe. Wednesday they host the famous Wayback Playback with Tony Monaco and Z103.5",,Top 40,"Casually Upscale (no baggy jeans, runners or sportswear)",$15-20 | Friday ladies free before 11pm on gueslist | Saturday ladies free before midnight on gueslist,Space time continuum,Average age: 19-25,,,,Street parking on Queen W. for 2.00 per half hour or Private parking lots available,Wed - Sat: 10:00pm - 2:00am,416.977.8900,,club,,"Get Dressed Up, Recently Single/Ready to Mingle, Dance Party, Let Loose, Mixed, Top 40, Electronic Dance Music, Electronic/House, Mixed Crowd, College, Casual, Multi Room, High Energy, VIP & Bottle Service, Free Before 11, Free Before 12, Ladies Free, Open Weekdays",gravity_soundbar/gravity_soundbar_logo.jpg,"gravity_soundbar/gravity_soundbar_1.jpg, gravity_soundbar/gravity_soundbar_2.jpg, gravity_soundbar/gravity_soundbar_3.jpg"
Ballet, 227 Ossington Ave,,Dundas & Ossington,Toronto,Ontario,Canada,,A sexy burlesque bar with VIP Booths. The only private venue in Toronto with a cabaret license. Ballet features 3 to 4 short dance shows a night with beautiful and talented resident dancers who engage the audience all while capturing amazing dance moves.,,"Top 40, R&B, Electronic","Casually upscale, Dress shoes", $10-20,Upscale lounge,20's and 30's,,,,Street parking on Ossington and on Dundas for $1.50 per hour. Green P parking lot on Dundas just east of Ossington. ,Fri - Sat: 10:00pm - 3:00am. Open for special events on other nights,647.352.8253,,club,ossington,"Mixed, Burlesque, VIP & Bottle Service",ballet/ballet_logo.png,"ballet/ballet1.jpg, ballet/ballet2.jpg, ballet/ballet3.jpg"
Maison ,15 Mercer St.,,John & Mercer,Toronto,Ontario,Canada,,"Maison Mercer is an upscale downtown venue offering a dynamic social and music scene with renowned international DJ's and a sexy diverse crowd. Maison is a multi-level club with a state of the art light shows, a Funktion One system and a beautiful rooftop patio. This venue caters to a 21+ crowd.",,"Club  bangers, Top 40, House","Dress to Impress - Not Allowed: T-shirts, ball caps, running shoes, casual attire.",$20-25,Energetic,"Upscale, 21+",,,,Street parking on King w. for $4.00 per hour or Private parking lot on Mercer st.,"Sat: 10:00pm – 2:00am, Open on: Thursday, Friday, Sunday for Special events only",416.341.8777,,club,king_w,"Get Dressed Up, Electronic Dance Music, 21+/23+, Upscale, Rooftop Patio, Recently Single/Ready to Mingle",maison/maison_logo.jpg,"maison/maison_1.jpg, maison/maison_2.jpg, maison/maison_3.jpg"
Toika Lounge,471 Richmond St. W,,Richmond & Spadina,Toronto,Ontario,Canada,,"A small, intimate bar with a dance floor that's always full. Toika Lounge is the hidden jewel of the Toronto Entertainment Scene, located two blocks north of The King West District on Richmond. Toika Lounge has established itself as the landmark for intimate parties, celebrations and private events and always lives up to it's reputation as a party playground for all.",,"Deep House, Electronic","Dress to Impress (no baggy jeans, athletic shoes, timberlands and sportswear)", $10-15,Dance Party,20's and 30's,,,,Street parking on Spadina ave $3.00 per hour or Queen st. w for $2.25 per hour,"Thursday, Friday & Saturday 10pm - 3am",416.868.6452,,club,king_w,"Dance Party, Electronic/House, Electronic Dance Music, Casual, Mixed Crowd, 19-25, Open Weekdays",toika_lounge/toika_lounge.jpg,"toika_lounge/toika_lounge_1.png, toika_lounge/toika_lounge_2.png, toika_lounge/toika_lounge_3.png"
Media Bar ,77 Peter Street,,Peter & Adelaide ,Toronto,Ontario,Canada,,"A very unique concept, Media Bar is decorated with old school tvs, paparazzi murals and director’s chairs.  ",,"Hip Hop, Reggae, Top 40",Upscale casual (No baseball caps), $10-15,Social club with a media theme,Late 20’s,,,,Street parking on Spadina ave $3.00 per hour or private lots,Fri - Sat: 10:00pm - 3:00am,416.260.6111,,club,king_w,"Let Loose, Top 40, Hip Hop/Reggae, 19-25, 25-40, Upscale",media_bar/media_bar_logo.jpg,"media_bar/media_bar_1.png, media_bar/media_bar_2.jpg, media_bar/media_bar_3.png"
Set Boutique,333 King St. W,,King & Peter,Toronto,Ontario,Canada,,Analyze the accents. Experience the service. Indulge in decor. Move to the music. Taste the perfect mix. You are now SET,,"Top 40, Mashup, House, Hip Hop","Dress to Impress (no baggy jeans, athletic shoes, timberlands and sportswear)", $10-15,"Contemporary, Modern","Mature, Young Professionals, 20's and 30's",,,,Street parking on King w. for $4.00 per hour or Private parking lots.,Sat: 10:00pm - 3:00am,416.597.2789,,club,king_w,"Get Dressed Up, Hip Hop/Reggae, Mixed, Top 40, 19-25, Upscale",set_boutique/set_boutique_logo.png,"set_boutique/set_boutique1.png, set_boutique/set_boutique2.png, set_boutique/set_boutique3.png, "
Fiction,180 Pearl St.,,Pearl & Duncan,Toronto,Ontario,Canada,,"We transform Fiction Club every weekend into a playground for the 21+ mature clientele of Toronto. Various revolving residents playing the best in house, hip hop, and dance anthems DJ Johnny-A & DJ Undercover and other special guests each every Saturday. 19+ on Fridays and 21+ on Saturdays.",,"House, Hip Hop, Club Bangers","Dress to Impress (no baggy jeans, athletic shoes, timberlands and sportswear)","$20 cover – $10 half-cover on guest list.

","Fun, Upscale, Sexy","Twenties, Young Professionals",,,,Street parking in this area for $4.00 per hour or various parking lots,Fri - Sat: 10:00pm - 3:00am,647.352.5505,,club,,"Top 40, Hip Hop/Reggae, Electronic/House, High Energy, Recently Single/Ready to Mingle, 21+/23+, Sophisticated",fiction/fiction_logo.png,"fiction/fiction01.png, fiction/fiction02.png, fiction/fiction03.png, "
5th Social - Easy and the 5th,225 Richmond St. W,,Richmond & Duncan,Toronto,Ontario,Canada,,"The Fifth Social Nightclub (previously known as Easy and The Fifth) is Toronto's most renowned nightclub now in its fourteenth successful year. Located in downtown Toronto The Fifth Social continues to play host to visiting celebrities, sports figures and Torontonians alike.",,"Top 40, R&B, House","Dress to Impress (no baggy jeans, athletic shoes, timberlands and sportswear)",$15-20,"Classy, Upscale","Mixed Crowd, Professionals",,,,Street parking on Queen w. for $3.00 per hour or Private parking lots,Fri - Sat: 10:00pm - 3:00am,416.979.3000,,club,,"Mixed, Top 40, College, 19-25",the_fifth_social/the_fifth_social_logo.png,"the_fifth_social/the_fifth_social_1.png, the_fifth_social/the_fifth_social_2.png, the_fifth_social/the_fifth_social_3.png, "
CODA,794 Bathurst St,,Bloor & Bathurst,Toronto,Ontario,Canada,,"Coda is the new venue that replaced the raver renowned Footwork. They feature well known EDM Djs from all over the world, making Coda an awesome place for a crazy dance party. ",,EDM,Smart Casual,Varies depending on ticket sales,"Funky, Dance Party",Mixed Crowd (19+),,,,Street parking on Bloor or on Bathurst,Varies depending on events (Usually open Friday and Saturdays),416.536.0346,,club,bloor_st,"Let Loose, High Energy, Electronic/House, Electronic Dance Music, College, Mixed Crowd",coda/coda_logo.png,"coda/coda_1.png, coda/coda_2.jpg"
